time,open,high,low,close,tick_volume,spread,real_volume
2024-11-29 15:45:00,98332.32,98348.26,98148.81,98314.4,1699,2331,0
2024-11-29 15:50:00,98316.18,98552.73,98238.79,98499.66,1822,2325,0
2024-11-29 15:55:00,98499.67,98584.29,98147.43,98170.46,1638,2192,0
2024-11-29 16:00:00,98170.46,98437.14,98170.46,98427.74,1318,2174,0
2024-11-29 16:05:00,98427.74,98522.61,98263.19,98364.93,1473,2090,0
2024-11-29 16:10:00,98364.93,98472.79,98232.56,98257.69,1491,2052,0
2024-11-29 16:15:00,98258.14,98336.06,97851.8,97975.58,1581,1907,0
2024-11-29 16:20:00,97974.45,98252.21,97882.66,98199.65,1582,1985,0
2024-11-29 16:25:00,98202.57,98344.83,98114.27,98338.05,1549,2275,0
2024-11-29 16:30:00,98338.05,98616.23,98282.2,98288.09,1613,2043,0
2024-11-29 16:35:00,98288.24,98289.39,97944.38,98134.14,1212,1874,0
2024-11-29 16:40:00,98134.14,98271.43,98053.29,98209.56,1385,2401,0
2024-11-29 16:45:00,98209.56,98227.2,97991.44,98122.06,1201,2152,0
2024-11-29 16:50:00,98122.05,98205.97,97972.95,98035.76,1263,2340,0
2024-11-29 16:55:00,98036.03,98036.03,97873.24,97919.92,1214,2615,0
2024-11-29 17:00:00,97919.92,97957.47,97802.9,97937.28,1475,2662,0
2024-11-29 17:05:00,97937.28,97938.87,97375.88,97477.91,1749,2254,0
2024-11-29 17:10:00,97477.91,97495.0,97237.59,97280.78,1692,2515,0
2024-11-29 17:15:00,97280.77,97430.74,97222.44,97229.72,1778,2827,0
2024-11-29 17:20:00,97229.71,97295.46,97123.76,97174.39,1562,2963,0
2024-11-29 17:25:00,97174.39,97314.82,97036.5,97129.77,1504,3349,0
2024-11-29 17:30:00,97129.77,97466.93,97101.87,97401.66,1355,3263,0
2024-11-29 17:35:00,97401.66,97418.92,97029.33,97096.76,1120,3145,0
2024-11-29 17:40:00,97099.96,97334.73,97099.96,97193.66,1079,3273,0
2024-11-29 17:45:00,97193.66,97419.53,97186.88,97394.41,1254,3290,0
2024-11-29 17:50:00,97394.32,97427.49,97269.18,97278.65,1383,3317,0
2024-11-29 17:55:00,97277.49,97279.55,97060.85,97071.37,1041,3296,0
2024-11-29 18:00:00,97071.37,97139.56,97009.15,97009.27,1004,3398,0
